time_idx,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
100000,-0.066131591796875,0.7593994140625,0.847686767578125
100001,-0.031890869140625,0.743621826171875,0.8190765380859375
100002,0.0102081298828125,0.725860595703125,0.7520751953125
100003,0.0696868896484375,0.70159912109375,0.650360107421875
100004,0.131256103515625,0.667633056640625,0.533203125
100005,0.1875,0.6137237548828125,0.416046142578125
100006,0.2356414794921875,0.5626678466796875,0.3503875732421875
100007,0.287841796875,0.552459716796875,0.3182220458984375
100008,0.322906494140625,0.5640869140625,0.3031768798828125
100009,0.3326263427734375,0.5816497802734375,0.32171630859375
100010,0.3243865966796875,0.60223388671875,0.3850860595703125
100011,0.3378753662109375,0.6278839111328125,0.4724884033203125
100012,0.3509674072265625,0.6762542724609375,0.4910125732421875
100013,0.3532257080078125,0.7997589111328125,0.42919921875
100014,0.3778228759765625,0.9419097900390624,0.3889923095703125
100015,0.4067840576171875,0.98773193359375,0.316131591796875
100016,0.43389892578125,1.079803466796875,0.2534332275390625
100017,0.4339752197265625,1.211563110351562,0.2672271728515625
100018,0.424285888671875,1.291534423828125,0.344940185546875
100019,0.4439544677734375,1.3194580078125,0.463958740234375
100020,0.4781494140625,1.302978515625,0.527923583984375
100021,0.51739501953125,1.255325317382812,0.522552490234375
100022,0.5216827392578125,1.1903076171875,0.483551025390625
100023,0.471282958984375,1.115142822265625,0.4066314697265625
100024,0.423431396484375,1.044158935546875,0.350433349609375
100025,0.4027557373046875,0.970123291015625,0.3690643310546875
100026,0.3908843994140625,0.883270263671875,0.41015625
100027,0.367279052734375,0.8083648681640625,0.4678955078125
100028,0.3350830078125,0.75146484375,0.5412139892578125
100029,0.3074951171875,0.6711883544921875,0.6270904541015625
100030,0.2900390625,0.605010986328125,0.6795196533203125
100031,0.2599945068359375,0.565155029296875,0.69464111328125
100032,0.20977783203125,0.5227508544921875,0.7055511474609375
100033,0.137237548828125,0.4693450927734375,0.7451629638671875
100034,0.0559844970703125,0.4444427490234375,0.8058929443359375
100035,-0.0276641845703125,0.4001312255859375,0.8491363525390625
100036,-0.1034698486328125,0.3462982177734375,0.8957366943359375
100037,-0.1751251220703125,0.3261260986328125,0.9785308837890624
100038,-0.24578857421875,0.300567626953125,1.090896606445312
100039,-0.312957763671875,0.292999267578125,1.2010498046875
100040,-0.3726806640625,0.313140869140625,1.279632568359375
100041,-0.4182281494140625,0.3325958251953125,1.321823120117188
100042,-0.4372711181640625,0.363677978515625,1.316299438476562
100043,-0.4333648681640625,0.4050445556640625,1.262100219726562
100044,-0.3917999267578125,0.45037841796875,1.179855346679688
100045,-0.2940673828125,0.478851318359375,1.08013916015625
100046,-0.1444244384765625,0.4763031005859375,0.975799560546875
100047,0.016265869140625,0.474639892578125,0.8814849853515625
100048,0.14093017578125,0.4888916015625,0.788604736328125
100049,0.2211151123046875,0.536102294921875,0.7337493896484375
100050,0.2630767822265625,0.591827392578125,0.7270050048828125
100051,0.267303466796875,0.6353912353515625,0.7210845947265625
100052,0.2510986328125,0.6947021484375,0.7039337158203125
100053,0.209442138671875,0.7425994873046875,0.6524505615234375
100054,0.1582183837890625,0.7415313720703125,0.5906524658203125
100055,0.101409912109375,0.704620361328125,0.5415496826171875
100056,0.0496826171875,0.6659088134765625,0.500579833984375
100057,0.0058135986328125,0.6455535888671875,0.4900360107421875
100058,-0.030609130859375,0.6394805908203125,0.514068603515625
100059,-0.0578460693359375,0.6541595458984375,0.5607147216796875
100060,-0.07080078125,0.68658447265625,0.6267852783203125
100061,-0.054412841796875,0.7180938720703125,0.7161102294921875
100062,0.017181396484375,0.7299652099609375,0.8077239990234375
100063,0.137176513671875,0.720550537109375,0.850555419921875
100064,0.281524658203125,0.7046966552734375,0.8155975341796875
100065,0.4185028076171875,0.6865081787109375,0.70458984375
100066,0.5212860107421875,0.673065185546875,0.53985595703125
100067,0.5855255126953125,0.647125244140625,0.3923187255859375
100068,0.6015777587890625,0.621856689453125,0.297821044921875
100069,0.5634307861328125,0.6143646240234375,0.28472900390625
100070,0.500396728515625,0.6271514892578125,0.38824462890625
100071,0.4445037841796875,0.62890625,0.545867919921875
100072,0.4099578857421875,0.631072998046875,0.6518402099609375
100073,0.40777587890625,0.6524505615234375,0.6832275390625
100074,0.4470977783203125,0.6738433837890625,0.72137451171875
